video_url,prompt
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,"At a dimly lit gas station under a sharply focused roof canopy adorned with sporadic rectangular lights, a young woman stands firmly at the center. Her vibrant red racing-style jacket is filled with air, ballooning outward with bold, rounded curves that amplify every stitched patch and embroidered logo. The supple leather texture bulges while the silver chains cascading from the jacket hang with enhanced weight and clarity. Beneath, her crisp white ribbed tank top is similarly puffed, puffing out smoothly around her torso, the fabric stretched softly but still textured with its fine knit pattern. Her loose denim jeans are expanded with air, the iconic blue fabric puffed upward and outward, pockets and seams pronounced and slightly raised, while the waistband holds snug around her hips, contrasting with the swallowtail puff of the legs. Dark sunglasses obscure her eyes, her slightly open lips clutching a small object, framing an expression of cool confidence set against the neon-lit station. The bright green and black fuel pumps positioned to her side gleam faintly, and the distant red and white signage glows vividly against the night sky. Every detail of her inflated clothes remains distinct, with the authentic materials and colors vividly preserved as the fullness enhances this striking, self-assured moment under artificial light."
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/d015960c-06ba-43b4-b986-4642da210206.mp4,
